word1,word2,score
car,automobile,3.92
gem,jewel,3.84
journey,voyage,3.84
boy,lad,3.76
coast,shore,3.70
asylum,madhouse,3.61
magician,wizard,3.50
midday,noon,3.42
furnace,stove,3.11
food,fruit,3.08
bird,crane,2.97
bird,cock,2.63
food,rooster,1.89
coast,forest,1.85
money,dollar,3.33
money,cash,3.48
money,bank,3.00
glass,tumbler,3.45
law,lawyer,2.69
journey,car,1.16
crane,implement,1.68
brother,monk,2.82
lad,brother,1.66
journey,monk,0.91
coast,hill,1.48
forest,graveyard,0.84
food,wood,0.89
money,possession,2.06
furnace,fire,3.11
